file,rss,pss,shared_clean,private_clean,private_dirty,anonymous,file_backed
pmap1.txt,320704,229083,10920,41396,177604,268388,52316
pmap2.txt,304244,213646,10972,41724,162936,251548,52696
pmap3.txt,353140,263211,10844,41660,213176,300636,52504
pmap4.txt,311020,222920,11052,41756,174700,258212,52808
pmap5.txt,316152,228012,11024,41392,180148,263736,52416
pmap6.txt,312180,223819,11060,41288,175892,259832,52348
pmap7.txt,321972,233280,11000,41480,184712,269492,52480
pmap8.txt,310864,218958,10908,41384,167260,258572,52292
pmap9.txt,310300,222870,10976,41568,175512,257756,52544
pmap10.txt,311648,220087,11020,41312,168796,259316,52332
pmap11.txt,343480,253712,10856,41400,204092,291224,52256
pmap12.txt,320876,232656,10908,41216,184812,268752,52124
pmap13.txt,312716,224237,10972,41112,176284,260632,52084
pmap14.txt,314480,223535,10932,41396,172796,262152,52328
pmap15.txt,323416,233789,10980,41496,184308,270940,52476
pmap16.txt,325736,238276,11008,41380,191092,273348,52388
